C0021270,baby
C0301020,cutting fluid
C1831742,nst
C0241043,shoulder swelling
C1273865,past medication
C0341666,case maker
C4086026,blood filled
C4056529,hemmorex
C0728731,babies born premature
C1260866,blood oxygenator
C0019999,cancer hospital
C0917899,unden
C0440285,melon
C0521212,oversewing
C0033023,prejudice
C1110594,allegra
C1272919,oral dose form
C0682034,trucking industry
C0410877,external cephalic version
C0011746,imperfect yeast
C1310921,decenal
C0018938,blood drugs
C0454153,blocked eye
C0585318,every 30 minutes
C3838840,after hours clinic
C0751992,fetal weight
C1517512,genetic risk
C0679959,empowerment
C0282206,gender issues
C3489667,air travel
C3880087,bucket liner
C0152164,cyclic vomiting syndrome
C4042873,children sports
C4025734,anomaly scalp
C0237459,adoption child
C0003242,antibodies anti
C3442752,feltiella
C1274217,genetic defect hair shaft
C0870411,developmental stage
C0206213,hazard control
C1280389,entire lower lip
C0581375,double coronary vessel disease
C0225353,glandular
C1517588,inviable
C0728713,sittings
C2718082,light cycle
C0035455,rhinitis
C0376654,broadside
C0237733,minister
C0003193,anti abortion group
C0442662,roundabout
C0680272,co payment
C0040238,tin
C1258058,spring warm
C0683831,collection development
C0454291,exercise regime
C0150219,exercise balance
C0241742,bleeding wound
C4725198,sixteen twenty years
C0016723,benefits fringe
C0233126,frequency uterine contractions
C4288194,some energy
C4725378,mouthpiece
C0440731,fetal brain
C0230139,chest cavity
C2348484,exposed group
C0871869,psychiatric unit
C0412508,ultrasound brain scan
C0012222,diffused
C0221262,white patch
C0222302,skin great toe
C3641800,standard time
C4688431,answered all your questions
C0814710,double jeopardy
C0429103,t wave
C3829797,have seizures
C0234461,aphasic
C1100515,stemmin c
C0011745,heavy water
C0037195,sinus headache
C3463816,felt tense
C0639344,nap dac
C0330953,cashew
C2351132,codeine paracetamol
C0419368,gp unit birth
C2826285,flow rate
C0029127,discs optic
C1638367,lansinoh
C0680660,traffic court
C2800281,woodland water holding frog
C0949236,pressure pulse
C0556825,stretching hip
C0562819,toilet use
C0042138,tumour uterus
C0184352,fluid warmer
C0333129,head white
C4553539,were thorough
C4321648,left side abdomen
C2773738,minous
C2220023,feeling restless
C0401997,community midwife
C3274920,have been short breath
C0241745,pain wound
C4024153,crooked mouth
C0241442,tongue sticking out mouth
C0474485,distress from pain labor
C0034086,pulmonary valve
C0741396,mid back pain
C0631029,contortin
C0586803,casualty doctor
C1518668,other resources
C0438990,funeral director
C1272570,control testing
C0403827,coital failure
C3853545,neg
C2983612,hind
C0242936,clinic pain
C0085194,staining negative
C0233738,stock words
C1656978,cell end
C1090662,starthroat
C3275086,home hospice
C0013039,doping sports
C4511032,problem finger
C4704771,data science
C0598781,commune
C0358061,acne products
C3897550,sei
C1448373,aman
C1278920,entire stomach
C0240717,perineal pain
C0392749,crusted
C4708553,spiritual advisor
C0578014,normal hand
C3898953,have lost hair
C1444657,contraindicated
C3640893,presumptive
C1531670,depression medication review
C0242586,progress report
C0010666,acne cystic
C2936504,military base
C0677661,emotional upset
C3889288,sop list
C0574067,increasing frequency cough
C3178921,kidneys head
C0337087,barricade
C0033611,clothing protective
C0274089,burned hand
C0459553,humour eye
C0234860,feeble cry
C1877455,chantix starting month pak
C0051691,amiridin
C0022658,kidney disease
C1539905,sync
C1899305,gyninae
C1136223,international perspectives
C3687527,ruminating calf
C0302912,radical
C4053841,worry about getting infections
C0026636,mouth disease
C1335561,frat 1
C0850867,ant bite
C0578231,gets off toilet
C0009080,clubbing
C0752150,alarm clock headache
C0327183,briba
C1134488,change hormonal
C3897660,sae reconciliation
C0335094,clown
C4704830,gun violence
C0233403,physically well but worried
C1025870,sacred fig
C0337568,foster son
C0871295,school counseling
C0011998,gap between teeth
C0681224,artistic form
C3900081,adversity
C0008097,gifted children
C0266294,kidney single
C1839947,onset birth newborn period
C0180063,compressor
C0332516,symmetrical
C0037304,fractured skull
C1539961,thumpd1
C1706380,meal data
C0402919,wood polisher small pieces
C4255420,diaper count
C0160073,other hand sprain
C2936495,weed control
C0680032,two child family
C1518670,other support update
C0856954,paranoid traits
C0038349,stoicism
C0221741,eye scratched
C0581895,violence between parents
C3360126,pimpla contemplator
C1285995,measure uterine contractions
C4086379,have almost unbearable pain
C0383587,medelamine
C3556166,diclegis
C0598782,appendage
C1024753,small white
C5197801,right work
C1421939,hunk
C0448168,pelvis bone
C1290871,disease hand
C0282412,editorials
C0475463,antibodies neutralizing
C0282348,oral sex
C4289280,feel urge move bowels quickly
C1720335,sparingly
C0205052,rectal
C3658341,human trafficking
C0413318,domestic abuse
C0026409,mon
C0440299,sesame seed
C0023134,laundering
C0681290,jargon
C1996997,frown line
C0278080,physical addiction
C0231426,avoidance coping
C0032478,peg
C0424942,forced leave school
C2350292,cell niche stem
C0328806,flier
C0681496,animated movie
C0026644,mouth toothless
C0860888,ct spirals
C0221758,back stiff
C0679214,symbol
C4042950,cell self renewal
C0585037,pregnancy time period
C0233896,development sex
C0682040,bartending field
C1469458,vidua interjecta
C0392412,count minute
C0179497,pass through cabinet
C1953345,region chromosome
C1413584,cert
C0682137,permanent resident
C4288954,house painting
C0019575,leeches
C0004350,authoritarianism
C0522175,delinquent
C0683321,poor health
C0430748,slump test
C0681411,high school sophomore
C4528490,device discarded
C0147238,tunic
C0457737,denture too small
C0258846,shh
C1552872,broader than
C4289703,decipher
C1827439,cap renewal
C4046087,diplomat
C4283979,state travel
C0681332,four year college
C0453228,painted bean
C1446336,multiple plaques
C3438392,blinch
C0682200,poor working
C1442466,5 days
C3896993,trial startup
C0439817,tinkling
C1294348,mold test
C1551926,digger
C1720725,twice
C4476674,triggered by stress
C0331988,stearns
C0180861,air filtering
C0051907,anidoxime
C4277527,preventative care
C0311412,increased oxygen supply
C4304317,test pretend play score
C0563053,first floor
C0455738,specific fear
C0337217,fall through window
C0027952,never married
C0379205,n dam
C4744640,able remember most things
C0278789,comb
C1205770,bonfire salvia
C0023317,lens
C3812381,month may
C0423224,ocular depression
C1626911,finding thigh
C0871707,daily activities
C1010897,sceloporus graciousus
C1419343,reps2
C0266815,cow milk allergy
C2945686,protein bars
C0031180,peroxide
C0695425,free weights
C5197672,increase symptom
C0443191,contact reaction
C0270601,amuck
C0522195,fear women
C0950074,clover
C1171321,abstaining from sex
C0282620,adjusted life year
C0341662,mixer
C0556474,committed sexual relationship
C1552934,quart
C1514724,raid
C3504821,palmate
C0417069,fall into pit
C0557138,lives with grandmother
C0558127,feels dreams are real
C1301876,premedication prescribed
C0012164,formula diet
C0221743,reactions skin
C4477058,fragmented sleep
C0679476,crying jag
C0241258,foul smelling stool
C0159125,nonspecific positive culture findings
C4012324,angry outbursts
C0026156,mineral oil
C0439778,hanging down
C3670896,rubbing against object
C0420302,died hospital
C0404836,undiagnosed pregnancy
C4082132,very prepared
C0858657,greenish stool
C0679900,free clinic
C0015402,bleeding from eye
C4458508,intruda
C4479469,shallow lateral notches
C0112687,debutil
C3878897,reclining chair
C2989000,little priest
C0158328,finger snapping
C0024727,mannans
C4732797,squawks
C0336360,other roofer
C1140123,whoart
C0017125,gastric bypass
C0273444,crushed hand
C0004249,atrocities
C0861064,high lead
C0566404,latches breast feed
C0336963,mountain climbing
C1196549,admiratio
C2934441,zip protein human
C0598429,kindred
C0581884,popping sensation ear
C0680862,financial liability
C4178118,tortus
C0020006,district hospital
C0683567,childless couple
C0870264,chess
C0600132,stands up
C0009131,coals
C0563152,black white thinking
C0453910,hold ups
C0015536,dental faculties
C1163679,injections sterile water
C0429186,oil droplets
C0742742,congestive
C2016031,cyst left ovary
C0205282,malignant
C0695669,rebirthing
C0005404,bile salt
C3641890,have fever
C0614139,perfit
C0160931,arm bruises
C1848103,narrow pelvis
C0338481,migraines ocular
C1999013,breast feeding normal
C0239581,finger chewing
C0056083,cognin
C0018717,medicare
C2348091,delegated
C3650998,advancing mobility
C1515369,therapeutic exploratory study
C4288980,have not received treatment
C1139730,monitor system
C0018943,hematology
C0857087,dizzy spells
C0010278,craniosynostosis
C0007350,disease cat
C2751135,improvement with age
C0187769,knee surgery
C0086600,costs medical care
C3850016,military family
C3494784,history back pain
C0588184,ragged placenta
C0012655,predisposition
C4330440,ids sr falling asleep
C0563794,empties bath
C0335256,proof reader
C0029163,bleeding from mouth
C2239178,finding newborn
C0441051,gloved
C3808046,difficult breathe
C2945625,feedings tube
C4012444,squeaky cry rare
C1276366,classes expectant parent
C0238744,rash back
C0231298,increased stress
C0998467,galleria
C0007090,carcinogen
C1825319,fry
C0007722,cephalohematoma
C2712435,knitting crocheting
C1549499,order date time
C0273239,head open wound
C0026838,spastic
C1880153,furthest neighbor
C0443764,liver enzyme
C3281223,canvas
C0004340,aus
C0453884,vests
C1708482,inability breastfeed
C0324717,koala
C0016497,food formulated
C0870940,natural family
C1827145,fermented food
C0681265,room furnishing
C0019233,herbal tea
C1514593,psychological impact
C0996851,pisums
C0576239,normal foot
C0220938,white color
C4517524,one hundred thousand
C0522178,thoughts self harm
C3178752,effect fertility
C0040128,thyroid disorder
C1546446,order has been replaced
C0453915,blouse
C0237617,animal feeding behavior
C2339573,left field h
C0567148,painless uterine contractions
C2984056,losing hope against illness
C3698294,history eating disorder
C0138514,factor placenta growth
C0241999,moodiness
C0870206,biracial children
C3871138,nih toolbox
C2585491,not fasting situation
C0453374,soy sauce
C0271650,glucose intolerance
C0332132,previous diagnosis
C0340464,extrasystoles
C3853320,graham cracker
C0680076,father role
C0085934,wellbutrin
C2936491,peripartum
C1299720,white line hoof
C0454152,blocking kidney
C1837835,bilateral clubfoot
C3825939,multiple sclerosis children
C0597304,proteolysis
C1274041,guardians
C0557226,home repossessed
C0729416,stain remover
C4688192,tscyc having trouble concentrating
C0699601,diflucan
C0162481,doppler ultrasounds
C0555315,shoulder strain
C0424297,making impulsive remarks
C0348898,irritable bowel syndrome with diarrhea
C0029115,opossum
C0021355,outer ear infection
C0680756,center political
C1269955,invasion
C0458176,maple syrup
C0453579,risotto
C4520493,swab from head
C0597418,rotavirus vaccine
C0013090,doxycycline
C0335479,fisherman
C0860794,negative ana
C0195710,footling breech delivery
C0184422,wheelchair wheel
C0036617,semi private
C1304680,symptom attack
C0871968,categorizing
C0243066,atresia
C0006629,corpse
C0856742,post mi
C0020459,hyperinsulinism
C0455689,insurance refused medical reasons
C1275556,every 5 10 minutes
C0019555,dislocated hip since birth
C0722549,perfect choice
C3858636,wrong version
C0403050,weigher measurer
C3878703,commode back rest
C2053584,history delivery
C0442734,nil
C1281570,entire heart
C0525989,reigning resin
C3454237,strange weaver
C1556023,acupuncturist
C0446516,upper arm
C0589256,phrasing speech
C4331412,discard tube
C0332121,treatment required
C0402612,head chef
C3839171,low back pain pregnancy
C0032058,placentation
C1305907,entire baby tooth
C0432185,absent muscles since birth
C0574770,body hair loss
C0596611,gene mutation
C1881051,high test results
C0871099,positive negative symptom
C0204681,bed anesthesia
C0186321,shoulder surgery
C0206156,rewarming
C3644537,healthy mama
C0014948,estrous
C1268110,heart part
C0156604,bleeding early pregnancy
C0074926,soy protein
C0402924,rubber molder
C0719278,pain child
C1882687,rat heart
C1510755,accession
C0557988,close supervision
C0675583,tnf 70 80
C0007723,head measurements
C0000765,excessive weight
C1827449,medication tapering
C0009669,confidentiality
C1014887,rattleweed
C0518459,dressing ability
C0018262,group practice
C0424387,not aware danger from strangers
C1415714,eras
C0010031,cornea
C0870482,elementary school teacher
C0158266,degenerative disc disease
C5202875,traditional schooling
C4021959,round ear
C1853738,long eyelashes
C1292793,medicolegal action
C0031153,peritoneum
C0680231,impasse
C4331552,wd4 understanding what people say
C0871955,vowel
C4331744,when walking flat
C1272704,partially successful
C4055147,did not make bed
C3242793,has contact
C0552478,history general
C0146413,nipt
C0582551,able reason
C5200690,healthy nutrition
C1548002,radiology ultrasound
C1444651,not offered
C0424939,learning difficulties
C1848995,normal first month
C2722838,clean getaway bag kit
C0549186,obstructive
C1836940,increased nuchal fold thickness
C2362328,understanding medical research
C0237828,statistical reliability
C1006139,bogue
C0000809,recurrent miscarriage
C1416896,err 10
C0723367,sleeping tab
C3709490,sunflower lecithin
C1998986,deficient knowledge
C0234250,refer pain
C3266262,chronic illnesses multiple
C1444182,dive medicine
C3687639,growing rabbit
C4706370,hospital review
C0558131,eating frequently
C0419343,heel prick sampling
C1530861,shinorine
C1627346,feeding regimen
C1277467,born peru
C0032755,postage stamp
C0423009,blood eye
C3258183,sources stress
C0005654,biting force
C4053911,try hard get sleep
C3878226,footrest
C0425187,midwife attends
C2953661,right pl
C4086316,fleshy tab
C0240564,nose pain
C1548605,insured
C4289740,cooking your own meals
C0587704,private doctor
C0007851,cervical tear
C0473161,anaesthetists
C1011810,platter leaf
C1851908,slow gait
C0001080,achondroplasia
C3898879,triple positive
C3669729,yearling
C0412808,body cooling
C1955948,proverbs
C4743619,self without assistance
C0575506,long rib
C0186045,lumbar spine fusion
C0019961,department hospital
C0810343,complications during labor
C0557914,feeling unwanted
C1516769,computational
C3858662,ends near end
C0524167,lead test
C1892976,throstle
C0420248,medication increased
C3717013,demolis
C1566050,severe jaundice neonate
C0492230,support breathing tube
C3658259,intake recommended daily
C0554194,store manager
C3137302,brownia
C0263890,poker spine
C0237456,school administrator
C0424354,running away from school
C1303116,wearing seat belt
C0522021,headfirst
C0439805,debulking
C0326649,thickhead
C1720566,now
C0276573,aids with fatigue
C0347577,head burn
C0016100,badges film
C2370034,ivy dry super
C2713000,ironing
C0238463,pact
C4505447,land travels
C0565198,drain bladder
C0459558,body wall
C0566501,ability breathe
C0327016,nurse frog
C4042854,timeout healthcare
C1707805,dog breed
C0682332,child court
C1881964,nanomanipulator
C0017108,scavenger
C0440015,dandelion
C0730228,screening at times life
C0583481,under care midwife
C4080772,spritam
C1705810,role role
C1504052,simplicia
C0492815,chair with unit
C0516678,does walk down step
C1320655,diabetes diagnosed newly
C1444717,well child visit
C0023010,language arts
C1322960,petri dish
C1749478,maturing face
C0237134,soiled living area
C4526628,have trouble going sleep
C0304066,cork
C0424175,fear speaking phone
C0424473,clothing dirty
C1875469,med pass
C0520955,slow learner
C0231807,doe
C0744689,heart sized
C0423128,sunset eye
C3494463,whistling
C0018501,hair dye
C0424428,preoccupied with food
C4055499,actuation
C4054350,cannot move
C0581391,chronic depression
C0265267,child syndrome
C0586557,accident at work
C4055637,significantly high
C0218316,tipp
C1709636,prefecture
C0041428,conjoined twin
C1514888,resectable
C0015852,fermentation
C0206054,tee
C0005890,stature
C0454510,relaxed breathing
C2751995,wrinkly skin
C0221193,journalist
C1537432,duo
C1880429,dusting pwd
C3853635,human race
C0324430,golden retriever
C0557777,motor scooter
C3669476,finishing turkey
C0424448,masked face
C3641921,able eat solid food
C3898981,hardly
C0556975,minutes week
C0152227,excess tearing
C3873685,microwave sterilizer
C4302493,sheesha
C4745111,24 months
C1551384,push cap
C2348629,synopsis
C0021430,informed consent
C4076417,provision medication schedule
C0336620,nail file
C0264411,hay fever asthma
C0241704,voice monotone
C0010137,cortisone
C2283635,singing starling
C0581567,one one care
C3641381,hads01 something awful about happen
C0683517,coerced treatment
C0237462,aging attitude
C0030552,muscle weakness
C0442513,children's home
C0017237,gelatin
C3672019,nose rubbing
C0567459,self care practice
C0060926,gabapentin
C0243041,chaperone
C0040487,tort
C0557252,state repair house
C0815099,problem solving skills
C0598887,unfoldase
C0018817,asd
C1082250,fellaster
C1690996,dollars week
C0566408,able drink from bottle
C2766930,dinera
C3900013,as much as always
C0234473,aphasia gibberish
C0235939,crying abnormal
C0036879,sexual advice
C1269775,green yellow
C0326967,tadpole
C1882499,pre registration
C0259229,protease resembling ice
C2362502,safety issues
C0450029,cold air
C0566575,feeding finding
C1518456,nbd
C0027747,ending nerves
C1440430,blue cheese
C0332126,do nothing
C0600420,proxy
C1550717,post box
C0184640,maintaining safe environment
C3993257,cupidesthes
C1522232,t placent
C0625788,patsc
C0223608,hiatus sacrum
C0203860,brain imaging
C0401892,civil servant
C1444667,family history taking
C0564543,compliant character
C0848222,prickly feeling
C4014431,lack head control
C0547049,openness
C0402717,make up artist
C0079710,moon phase
C3542017,pre existing conditions
C1269078,entire arm
C0425546,bubbling crackles
C0452757,cheese spread
C0319548,perfect yeast
C4330221,trouble finishing things
C0013331,dutch
C0009478,drugstore
C1954788,gestational age weeks
C0040713,translator
C1514849,replication process
C3670775,front foot mass
C4505266,one health
C0009482,community service
C0011132,coinsurance deductibles
C3266856,transgender people
C0680613,termination parental rights
C0740043,medical supplies
C4744815,death year
C0075355,styrofoam
C0016139,firearms
C0036371,school based services
C0557051,discussion about hygiene
C0234173,moro reflex
C0086152,habits diet
C0150035,anticipatory grief
C0517100,walks backwards
C0425047,death daughter
C0971619,premise 75
C0870339,connotations
C0562401,respects others
C0993603,cypresses
C0419189,care social
C0229993,psychic
C3858627,refrain policy
C0147019,tropesin
C0853813,local reaction
C0277982,alcohol breath
C3872475,eating or drinking device
C0235234,dry throat
C0085690,internal sty
C3496630,swab from uterus
C0814843,effect size
C0424914,family history mother
C0458589,jam sandwich
C0814183,tweaking
C4330321,work together project
C0303920,fluorescent
C0178675,health related legal
C0578031,normal body odor
C1122262,crest complete
C0679820,random drug testing
C1997329,fall from high place
C0013415,dysthymia
C3494193,soda water
C2985110,healthy environment
C0701153,severely mentally retarded
C0399997,emergency appendectomy
C0010082,coroner
C4302725,partner dead
C0807955,slope
C0017979,sugar urine
C0235183,irresponsibility
C0028688,nursing homes
C4230657,flaky skin
C0239182,watery diarrhea
C1445643,peanut containing products
C0852876,normal po2
C0857027,sickness feeling
C0427116,feels as though falling
C0226958,posterior tongue
C1315011,challenge test
C0858708,burning itching
C1549095,brain cyst fluid
C0203428,fetal us scan
C1535502,bal procedure
C1424256,speedy e
C3179343,wave ultrasound
C0332118,general information qualifier
C0449428,provocation
C0566687,mother delivered
C0439057,early morning urine
C1562550,normal reaction time
C0426122,mentoposterior position
C0521991,stress symptoms
C0449772,counting teeth
C0860675,abdomen scan
C0443183,closing loops
C0877617,cramps intestinal
C4476841,trouble remembering words
C0770791,tearing test
C0814688,tenant code
C0337028,implosion
C4218016,nastini
C0067407,nodshs
C3645627,primitive
C3825561,undertakers undertaking
C3272252,previously implanted
C0423759,hard skin
C0446559,thighs upper
C0230278,small pelvis
C0851252,breech extraction
C3640016,pressing pain
C1696708,pre hypertension
C0149687,failed hearing test
C0520942,personal motivation
C0745687,infection leg
C0206277,fatal outcomes
C0195622,vaginal cesarean section
C0077812,uncarine
C4551584,brain wasting
C0453887,body suit
C1680452,sandpaper fig
C0596768,income insurance
C0452240,exercises therapy
C3266241,transition care
C1578855,monitoring labor
C4039387,window sill
C0427322,footwear too long
C2985353,phase labor
C0683323,physical illness
C0232453,skin rolling
C0204709,measuring output
C0386914,super malic
C0458082,drug induced
C0524468,right shoulder
C0401913,teacher junior class
C0515995,patients talking
C1880022,characterized
C3641760,feel irritable
C0440965,cross finger flap
C3472181,severe dehydration
C4704675,911 dispatcher
C0750020,uterine bleeding heavy
C0086584,management nursing care
C1180280,female body
C1405800,postpartum pre eclampsia
C0564042,able tidy house
C5058350,fairfax lookout virus
C0336633,plastic tube
C0023867,medieval literature
C0871304,school readiness
C0577406,able handle money
C0681250,type music
C0182109,pulse oximeter
C1455687,entire teat
C0005659,sting bite
C0072296,beta trace protein
C0150479,blood gas
C1428446,cables
C0221745,depression suicidal
C0039337,taste buds
C0584671,advice start taking medication
C0740457,kidney cancer
C5058355,manly virus
C0240977,scrotal pulling sensation
C0524422,atria
C0042964,vomiting anticipatory
C1866241,wide foot
C0406834,leaking wound
C0035391,continued stay review
C3827979,some problems walking
C0454457,movement experience
C0683650,warfare
C0009013,clone
C0940892,successful injection
C0033118,pricing
C1955856,stoma
C0034063,pulmonary edema
C0453276,fresh fruit salad
C0237855,test scores
C0230388,index finger
C0683862,education high school
C1516213,cancer patient
C0424123,unrealistic planning
C1519248,septate
C3840868,spooning
C1301772,pertinent information
C0872279,strength training
C0003261,antibodies response
C0749657,treatment refused
C2219847,sleeping much more than usual
C0425248,mobile home
C0847014,rash fever
C0457548,control room temperature
C0054889,vac
C1709634,precursor
C0013171,designing drug
C0586866,reproductive endocrinologist
C0598976,foreign language
C5200778,netballs
C0074529,silk
C4277516,program wic
C3312312,big headed frog
C0446469,upper chest
C1456601,skin hair nails
C0331519,water couch grass
C4404747,barraza
C4302333,smoker household
C0577821,heart sounds normal
C0481703,problem smelling
C0037779,nursing specialty
C0326099,potoos
C0991564,lozenges
C0336617,face cloth
C0205315,oblique
C0557072,mother tongue
C1456599,lungs breathing
C1261199,no added sugar diet
C0930969,right little toe
C1997416,accentuated
C3163984,taking smear
C4086587,mrd reappearance
C0224520,symphysis
C0424247,hand flapping
C0036557,sedatives
C1144195,attractin
C1263424,lands
C0545508,pulse taking other
C0015347,extinction
C1170696,infant tylenol
C0005990,book chapter
C0557936,finding relating reminiscing
C0870373,credibility
C1823916,unkempt
C0007681,cns depressant
C0012169,low sodium
C3898918,have vaginal bleeding or spotting
C3829466,january
C0699992,lasix
C0441697,dye tests
C4526756,have you had trouble eating
C0566701,infected placenta
C1321095,drop s
C0337215,fall from window
C0015746,feeding method
C0019633,tissue type
C0870994,career goals
C1283164,attention action
C1553392,requires walker
C0561622,dog bite back
C0474171,pre pregnancy education
C0855818,prostate ultrasound
C0042384,vasculitis
C0476241,delayed milestones
C3242507,previously considered
C0678428,cologne
C0086498,just noticeable difference
C0680110,getting divorced
C0404576,luteal phase defect
C0718566,anti fungal
C3669436,gestating sow
C0677550,toy or novelty
C1313921,urinoma
C0497156,swollen lymph nodes
C0332509,increased size
C0204791,care newborn nursing
C1516003,adept
C1554195,working list
C0242618,sample size
C1489205,water lemon
C1553083,school social worker
C0040247,ringworm
C0699748,pathogenesis
C0182573,q tip
C0871685,clinician
C0849791,sinus drainage
C0150123,activities care
C0020050,household products
C0681549,distilling
C0452750,whipping cream
C0425986,pregnant blood test confirms
C0020969,natural immunity
C0993610,pellets
C1293834,provider specific procedure
C3274903,disapproval
C1550414,military service
C3753064,silhouettea
C0423553,light touch
C4540645,poor neck control
C0871144,profanity
C0025202,melanoma
C2826227,truckload
C0002708,amygdala
C1879997,capturing problem
C5234303,mustard yellow
C1416628,kfm
C1550138,other warning
C0442084,extra amniotic
C0683495,family oriented prevention
C0884975,shooting stars
C3875112,at risk hemorrhage
C0522067,liver pain
C1096717,injection pain
C0281991,use steroids
C2937251,sliding scale
C0556848,ice cube massage
C1704973,nucleic acid strand
C4331413,time this bowel movement
C0311222,painful swollen joints
C0332666,injuries old
C0455739,fear water
C1171164,labor risk
C4688264,atlas treatment with antibiotics
C0225988,small blood vessel
C0308920,eclipse 3
C0442765,20 400
C2945729,child survival
C0851081,progesterone test
C1824163,ened
C0336711,guided missile
C0017380,coding genetic
C0595946,urine screen
C0424716,head circumference centile
C0205939,cold virus common
C1740793,vomiting after coughing
C2350229,hot temperature
C1554185,multiplier
C1148454,seizure activity
C4688613,tscc feeling afraid
C1547431,primary care provider
C4479427,diagnosed at birth
C0233637,illogical thinking
C1271855,severe mental illness register
C1704532,active treatment
C4732742,hole center heart
C0040805,trazodone
C1518646,other body part
C3890174,decreased biochemical activity
C0562407,ability talk about problems
C0522508,has consistency
C1284844,entire side head
C1511225,mouse blood
C4683817,early third trimester
C1292769,common all
C0425788,tubular breast
C1551391,process completed
C0000812,legal abortion procedure
C4704793,vision insurance
C3251812,bleeding risk
C3669012,fetal diagnosis
C1314792,disease cause
C0456586,calendar year
C1883562,working group
C0597237,physical process
C3877615,food baking aid
C0457238,technically poor ctg
C1012738,abies grandis
C4086738,people were unfriendly
C0029032,one child policy
C3897205,velamentous vessel
C1879885,backflow
C0232851,flow urine
C0231686,unsteady walk
C2699021,reflexive
C0043268,life wrongful
C1962945,radiographic imaging procedure
C0013936,embryonic development
C1822616,stno
C0423543,voice testing inconclusive
C0733811,methergine
C1428890,mob
C0179419,breathing bag
C0019284,diaphragmatic hernia
C3275025,found it difficult relax
C3843355,not difficult
C0566211,comments events
C0948766,pelvis ultrasound
C0420818,visual testing done
C4763153,use information
C0286932,cnp amino
C0332310,has patient
C0544712,normal variation
C0086890,quick test
C3898155,nearly all time
C0002168,aloe
C0442541,flood water
C0329555,rusty goby
C1636770,person notified
C3714296,watery fluid
C0086321,cycle futile
C3831786,other answer question
C1677777,plan risks explained
C0238626,amniotic meconium
C0335367,presser hand
C0877616,finger cramps
C0011202,time release medication
C2712440,floor mopping cleaning
C4055527,walking downstairs
C4055384,better than expected
C0308298,aloe shampoo & conditioner
C1847322,pate
C3850162,practice management veterinary
C0563974,able clean floor
C0870587,free will
C0226032,lad
C0001122,acidosis
C1419128,cavin
C0269827,failed vacuum extractor
C0453831,calorie foods high
C1717745,date next dose
C0584924,feeling alienated
C0402694,doorman
C0015732,fecal incontinence
C0037434,social science
C0871946,verb
C0585652,rey figure test
C4524688,firing problem
C0585740,discharge by person
C0222279,leg skin
C0677038,increase pressure
C0920776,hormone related cancer
C0860976,high iron
C1708333,health care organization
C3829002,mixing other
C0237619,educational field trips
C3640292,not tested
C0278892,hed
C4331933,prefer not answer
C0228972,sympathetic chain
C3665370,uterine surgery
C0003297,antiemetic
C1705537,suspend
C0241934,hypomanic mood
C0235132,oppression
C0949847,viscum
C3880900,timer switch
C0181074,graft
C0168601,pepp
C1711342,exponent
C1279096,entire first rib
C1537694,nical
C2674465,happy personality
C1276050,no itch situation
C0032101,plant poisonous
C0237228,neglect other
C0450991,anelt
C2998431,chumma
C0733503,ambush
C0036379,nursery school
C0680935,business partnership
C0205391,pervasive
C3859733,ninjacof
C0679182,friendliness
C1962923,dependents population group
C0008062,child molesting
C1948540,reclast
C0036045,glasses safety
C2362498,children teenagers
C1550419,room type
C0193438,gallbladder surgery
C0205343,reversible
C3897178,looking after myself
C0007319,case mixes
C3651038,promotion positive relationship
C0149843,punch drunk
C4520843,eye webs
C1511361,c3h heh
C1427834,jade3
C0565846,fire open area
C3806242,weak sucking
C4707383,sexually attracted male sex
C0329006,remora
C0038813,sunbathing
C0442676,public park
C1707959,example
C0421334,screening wanted
C4046024,school uniforms
C1843991,onset by 1 year age
C0000929,accident home
C0683073,drunk driver
C1319152,knowledge parents
C0024523,malabsorption
C0597148,ovulation timing
C0578376,rolls over bed
C1546927,distributor
C0681072,trade surplus
C0599444,body cell
C0405024,accessory placenta
C4279942,thinking skills
C0332624,dispersed
C3640667,reused
C1548161,preliminary results
C4405926,scythris ridiculella
C0566948,vaginal swelling
C0423540,hearing whisper
C0557351,employing
C4552744,daily living
C1320360,living temporarily with relatives
C1855434,pointed nose
C0450232,forewater
C1849923,fair skin
C0022395,job application
C5205843,position effect
C0392768,purplish red
C0038632,behavior sucking
C2718031,child safety seat
C4025087,long finger bone
C0562506,crossroads
C3853258,high calorie formula
C0011143,defensive medicine
C0011777,dexamethasone
C0007208,cardiotocography
C0155877,asthma allergic
C0325125,earless seal
C0337656,slum area living
C0441496,cementing
C4280574,problems speaking
C2936324,ovine digital dermatitis
C5230276,refusing fluids
C0401863,estate agent
C0679984,group strangers
C3494258,inventor
C1531991,going live abroad
C0018100,gout suppressants
C0392359,public speaking
C0330656,bitter almond
C0184957,syringing
C0683433,personal experience with living scale
C4288222,signed by
C4083290,absence front tooth
C0558129,eating finding
C4084858,breathing effort
C0851364,social circumstances
C0085904,free standing birth center
C1038124,bathypathes
C0025982,microfilming
C0064658,lard
C0532586,tangit
C0566330,moves food mouth
C0432355,small nipples
C0424859,lumpiness
C0729315,hand therapy
C0424933,education higher
C0556266,access child
C4313278,low weight extreme
C0920299,overriding toe
C3537389,slo homolog
C0403151,loader
C1273516,high priority
C1706976,bobbin
C1449704,fibrates
C0681662,olympics
C0448809,skin under chin
C0150371,sustenance support
C3641358,fiqr go shopping groceries
C0035161,reptile
C1547758,comment type
C0013463,earthquakes
